WONum,LinkedDocumentNum,Reference,Status,ItemCode,Category,Description,Qty,Year_Mth_Week,Due_Date,Trn,UseQty,ScrapQty,RejectQty
59,,qwerty7,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-1.0000,2026-02 Week6,04 Feb 2026,WO,0.0000,0.0000,0.0000
59,,qwerty7,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-7.0000,2026-02 Week6,04 Feb 2026,WO,0.0000,0.0000,0.0000
63,,qwerdsa,NEW,639801,,Multi purpose wipes,-125.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
63,,qwerdsa,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-700.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
63,,qwerdsa,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-100.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
63,,qwerdsa,NEW,REPAIR01,,REPAIRS,-200.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
64,,qwertyuiop,NEW,639801,,Multi purpose wipes,-3.7500,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
64,,qwertyuiop,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-21.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
64,,qwertyuiop,NEW,AORG100,,6009880532100 - Virgin Coconut oil 200ml,-3.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
64,,qwertyuiop,NEW,REPAIR01,,REPAIRS,-6.0000,2026-02 Week6,06 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-300.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-300.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-500.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-500.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,CAM012,,Consumables,-100.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
65,,123456,NEW,CAM012,,Consumables,-100.0000,2026-02 Week7,13 Feb 2026,WO,0.0000,0.0000,0.0000
66,,qwerty,New,639801,,Multi purpose wipes,-3.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
66,,qwerty,New,149553,,Yellow stroller with green wheels,-0.2380,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
66,,qwerty,New,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-2.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
66,,qwerty,New,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-0.3600,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
66,,qwerty,New,ACItem2,,AddCostsItem2,-3.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
67,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-3.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
67,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-5.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
67,,qwerty,NEW,CAM012,,Consumables,-1.0000,2026-02 Week8,17 Feb 2026,WO,0.0000,0.0000,0.0000
68,,qwerty,NEW,171226,,Sport push chair,-1.0000,2026-03 Week10,06 Mar 2026,WO,0.0000,0.0000,0.0000
68,,qwerty,NEW,AFUL100,,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-3.0000,2026-03 Week10,06 Mar 2026,WO,0.0000,0.0000,0.0000
68,,qwerty,NEW,AFUL120,,6009880532582 - BCAA/EAA Pwd 455g Tropic,-5.0000,2026-03 Week10,06 Mar 2026,WO,0.0000,0.0000,0.0000
68,,qwerty,NEW,CAM012,,Consumables,-1.0000,2026-03 Week10,06 Mar 2026,WO,0.0000,0.0000,0.0000
0,,On Hand,QOH,639801,,Multi purpose wipes,199.7500,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,149553ZZ,,Yellow stroller with green wheels,231.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,311066,Chairs and Cushions,Stroller cover - Blue,10282.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,311073,Chairs and Cushions,Chair cushion Orange,100.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL100,Vitamins,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,-5.5000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL120,Vitamins,6009880532582 - BCAA/EAA Pwd 455g Tropic,73.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL160,Vitamins,6009880532568 - Creatine Pwd 455g,122.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AFUL240,Vitamins,6009880532551 - L-Glutamine Pwd 455g,16.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,AORG100,,6009880532100 - Virgin Coconut oil 200ml,1332.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,MISC,,Miscellaneous - add details,0.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,On Hand,QOH,ACItem2,,AddCostsItem2,97.0000,0n Hand,09 Mar 2026,OH,0.0000,0.0000,0.0000
0,,Min Level,Min,639801,,Multi purpose wipes,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,149553ZZ,,Yellow stroller with green wheels,-20.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,311066,Chairs and Cushions,Stroller cover - Blue,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,311073,Chairs and Cushions,Chair cushion Orange,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,AFUL100,Vitamins,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,AFUL120,Vitamins,6009880532582 - BCAA/EAA Pwd 455g Tropic,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,AFUL160,Vitamins,6009880532568 - Creatine Pwd 455g,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,AFUL240,Vitamins,6009880532551 - L-Glutamine Pwd 455g,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,AORG100,,6009880532100 - Virgin Coconut oil 200ml,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,MISC,,Miscellaneous - add details,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
0,,Min Level,Min,ACItem2,,AddCostsItem2,0.0000,0n Hand,09 Mar 2026,Min,0.0000,0.0000,0.0000
