ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
10-223,Waterpump,Plasma,7.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
104119,Removable tool,Plasma Jhb,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
104119,Removable tool,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.848.221.145C,Gas Guide G101C,,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.40.081,Protection Cap F501,Plasma Jhb,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.117,Nozzle,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.142,Cooling Tube F902 Air 02,,14.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1520,Swirl Gas Cap F4020,Plasma Jhb,97.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1530,Swirl Gas Cap F4030,Plasma Jhb,22.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1535,Swirl Gas Cap F4035,,70.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1540,Swirl Gas Cap F4540,Plasma Jhb,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1604,Nozzle Cap F3004,Plasma Jhb,8.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.1628,Nozzle Cap F3028,Plasma Jhb,16.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.350,Cathode F005,,42.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.360,Cathode F006,Plasma Jhb,22.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.360,Cathode F006,Plasma Jhb,67.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.360,Cathode F006,Plasma Jhb,-47.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.407,Nozzle F2007 02 35A,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.408,Nozzle F2008 02 60A,Plasma Jhb,45.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.408,Nozzle F2008 02 60A,Plasma Jhb,75.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.408,Nozzle F2008 02 60A,Plasma Jhb,-55.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.410,Nozzle F2010 90A,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.412,Nozzle F2012 02 130A,Plasma Jhb,52.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.412,Nozzle F2012 02 130A,Plasma Jhb,82.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.412,Nozzle F2012 02 130A,Plasma Jhb,-62.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.414,Nozzle F2014 02 160A,Plasma Jhb,10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.414,Nozzle F2014 02 160A,Plasma Jhb,49.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.401.417,Nozzle F2017 02 200A,Plasma Jhb,57.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.411.1520,Swirl Gas Cap F4120,,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.411.320,Cathode F012,Plasma Jhb,69.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.411.320,Cathode F012,Plasma Jhb,-10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.421.320,Cathode F022,Plasma Jhb,17.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
11.855.421.427,Nozzle 300A F2227,Plasma Jhb,12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120305,T-1570 Nozzle Pipe Saddle PMX 900,Plasma Jhb,105.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120433,T-8128; Cathode 60A 80A 100A,Plasma Jhb,35.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120547,T-0773:Electrode 100A. 200A:MAX200/HT200,Plasma Jhb,134.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120573,Electrode PMX600,Plasma,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120574,T-2298 Electrode Extended PMX 800/900,Plasma Jhb,125.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120576,T-2230; Swirl Ring; PMX600,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120600,T-12045; Retaining Cap; PMX600,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120667,T-0998:Electrode 40A. 200A:MAX200/HT2000,Plasma Jhb,11.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120826,Nozzle PMX 600,Plasma,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120828,T-9827; Shield 40A; PMX600,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120837,T-10242:Retaining Cap.Ohmic:Max200/HT200,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120925,Swirl Ring 40-80A,Plasma,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120925,Swirl Ring 40-80A,Plasma,-2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120926,Electrode 40-80A,Plasma,30.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120926,Electrode 40-80A,Plasma,225.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120926-UR,Electrodde 40-80A,Plasma,39.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120926-UR,Electrodde 40-80A,Plasma,-10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120927,Nozzle 80A,Plasma,25.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120927,Nozzle 80A,Plasma,-10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120927,Nozzle 80A,Plasma,35.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120928,Retaining Cap 40-80A,Plasma,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120930,Shield,Plasma,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120931,Nozzle 60A,Plasma,35.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120931,Nozzle 60A,Plasma,-10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
120932,Nozzle 40 A,Plasma,45.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21725,PT-10625:Water Baffle:PT-24:ESAB,Plasma Jhb,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21796,T-2268:Gas Diffuser 50A:PT-19XLS/PT-36/P,Plasma Jhb,6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21802,T-2266:Shield 100-250A:PT-19XLS/PT-36/PT,Plasma Jhb,24.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21923,T-3354:Nozzle E 100A:PT-24:ESAB,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21944,Diffuser,Plasma Jhb,13.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
21945,T-2267:Shield 360A:PT-19XLS/PT-36/PT-600,Plasma Jhb,26.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220006,Nozzle 40 A,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220006,Nozzle 40 A,Plasma,145.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220007,Nozzle 60A,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220007,Nozzle 60A,Plasma,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220011,Nozzle 100A,Plasma,40.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220011,Nozzle 100A,Plasma,-10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220011,Nozzle 100A,Plasma,80.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220021-UR,T-3926:Electrode 40A. 200A:MAX200/HT2000,Plasma Jhb,14.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220037,Electrode 100A,,45.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220037,Electrode 100A,,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220037UR,Electrode 100A,Plasma,65.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220047UR,Shield Machine,Plasma,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220048,Retaining cap 100,Plasma,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220051,Cooling Tube,Plasma,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220051,Cooling Tube,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220163,Receptacle,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220173,Shield Cap 30-130A,Plasma,4.00,JHB,334.5800,1338.320000,,,,0.0000,0.0000,0.0000
220173UR,Shield Cap 30-130A,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220176,Shield Cap,Plasma,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220176,Shield Cap,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220179,Swirl Ring,Plasma Jhb,4.00,CPT,126.2100,504.840000,,,,0.0000,0.0000,0.0000
220179,Swirl Ring,Plasma Jhb,180.00,JHB,126.2100,22717.800000,,,,0.0000,0.0000,0.0000
220179,Swirl Ring,Plasma Jhb,-15.00,JHB,126.2100,-1893.150000,,,,0.0000,0.0000,0.0000
220179 UR,Swirl Ring,Plasma,28.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220180,Swirl Ring,Plasma,16.00,JHB,41.6700,666.720000,,,,0.0000,0.0000,0.0000
220181,Electrode 130A,Plasma,22.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220181S,Electrode Silver,,346.00,JHB,83.0200,28724.920000,,,,0.0000,0.0000,0.0000
220181S,Electrode Silver,,-60.00,JHB,83.0200,-4981.200000,,,,0.0000,0.0000,0.0000
220182,Nozzle 130A,Plasma,430.00,JHB,60.3700,25959.100000,,,,0.0000,0.0000,0.0000
220182,Nozzle 130A,Plasma,-60.00,JHB,60.3700,-3622.200000,,,,0.0000,0.0000,0.0000
220183,Shield 130A,Plasma,221.00,JHB,30.7200,6789.120000,,,,0.0000,0.0000,0.0000
220183,Shield 130A,Plasma,-30.00,JHB,30.7200,-921.600000,,,,0.0000,0.0000,0.0000
220187,Electrode 80A,Plasma,164.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220187,Electrode 80A,Plasma,-1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220187,Electrode 80A,Plasma,235.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220187 S,Electrode 80 Silver,,95.00,JHB,89.7500,8526.250000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,132.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,-1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,-4.00,CPT,24.0900,-96.360000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,67.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,-11.00,JHB,36.6717,-403.388700,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,10.00,JHB,50.2020,502.020000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,59.00,JHB,52.4127,3092.349300,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,100.00,JHB,94.3808,9438.080000,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,-15.00,JHB,36.6717,-550.075500,,,,0.0000,0.0000,0.0000
220188,Nozzle 80A,Plasma,-20.00,JHB,94.3808,-1887.616000,,,,0.0000,0.0000,0.0000
220189,Shield 80A,Plasma,70.00,CPT,16.8000,1176.000000,,,,0.0000,0.0000,0.0000
220189,Shield 80A,Plasma,-1.00,CPT,16.8000,-16.800000,,,,0.0000,0.0000,0.0000
220189,Shield 80A,Plasma,102.00,JHB,16.8000,1713.600000,,,,0.0000,0.0000,0.0000
220192,Electrode 30A,Plasma,20.00,JHB,83.7400,1674.800000,,,,0.0000,0.0000,0.0000
220193,Nozze 30A,Plasma,20.00,JHB,63.1200,1262.400000,,,,0.0000,0.0000,0.0000
220197,Nozzle,Plasma Jhb,85.00,JHB,60.0300,5102.550000,,,,0.0000,0.0000,0.0000
220198,Shield,Plasma,9.00,JHB,26.6700,240.030000,,,,0.0000,0.0000,0.0000
220198,Shield,Plasma,-9.00,JHB,26.6700,-240.030000,,,,0.0000,0.0000,0.0000
220201,Nozzle 45A,Plasma,6.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220206,Retaining Cap,Plasma,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220304,Inner Retaining Cap,Plasma,7.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220307,Electrode,Plasma Jhb,40.00,JHB,41.8700,1674.800000,,,,0.0000,0.0000,0.0000
220329,Nozzle 40A,Plasma,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220329,Nozzle 40A,Plasma,117.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220338,Shield,Plasma,12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220340,Water Tube,Plasma Jhb,43.00,JHB,39.3600,1692.480000,,,,0.0000,0.0000,0.0000
220340UR,Water Tube,Plasma,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220344,Nozzle Retaining Cap,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220352,Electrode 200A,Plasma,60.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220352,Electrode 200A,Plasma,-25.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220352,Electrode 200A,Plasma,172.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220352S,Silver ELectrode,,99.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220353,Swirl Ring,Plasma,45.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220354,Nozzle 200A,Plasma,60.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220354,Nozzle 200A,Plasma,-18.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220354,Nozzle 200A,Plasma,115.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220355,Inner Retaining Cap,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220356,Shield,Plasma,10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220356,Shield,Plasma,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220356,Shield,Plasma,-3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220398,Shield Cap 200-260A,Plasma,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220398,Shield Cap 200-260A,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220406,Nozzle 260A,Plasma,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220407,Shield 260A,Plasma,13.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220435,Electrode 260A,Plasma,15.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220435,Electrode 260A,Plasma,-2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220435,Electrode 260A,Plasma,64.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220435S,Silver Electrode 260,,99.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220436,Swirl Ring,Plasma,31.00,JHB,26.1500,810.650000,,,,0.0000,0.0000,0.0000
220439,Nozzle 260A,Plasma,60.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220439,Nozzle 260A,Plasma,-19.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220439,Nozzle 260A,Plasma,177.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220439,Nozzle 260A,Plasma,-6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220440,Shield 260A,Plasma,66.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220478,Electrode,Plasma,50.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220487,Electrode 130A,Plasma,22.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220487,Electrode 130A,Plasma,95.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220487,Electrode 130A,Plasma,-29.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220488,Swirl Ring 130A,Plasma,81.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220488,Swirl Ring 130A,Plasma,-2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220489,Nozzle 130A,Plasma,46.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220491,Shield,Plasma,50.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220491,Shield,Plasma,69.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220492,Shield,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220492,Shield,Plasma,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220492,Shield,Plasma,-3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220521,Water Tube,Plasma Jhb,12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220525,Nozzle 45A,Plasma,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220525,Nozzle 45A,Plasma,9.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220525,Nozzle 45A,Plasma,-2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220528,Electrode 40A,,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220528,Electrode 40A,,108.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220528,Electrode 40A,,-12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220529,Swirl Ring40A,Plasma,44.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220529,Swirl Ring40A,Plasma,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220529,Swirl Ring40A,Plasma,-1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220530,Nozzle 50A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220532,Shield 50A,Plasma,56.00,JHB,22.1600,1240.960000,,,,0.0000,0.0000,0.0000
220532,Shield 50A,Plasma,-2.00,JHB,22.1600,-44.320000,,,,0.0000,0.0000,0.0000
220534,Retaining Cap 45A,Plasma,-5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220534,Retaining Cap 45A,Plasma,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220535,Nozzle 130A,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220536,Shield 130A,Plasma,58.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220536,Shield 130A,Plasma,-3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220541,Electrode 260 Bevel,,50.00,JHB,127.1300,6356.500000,,,,0.0000,0.0000,0.0000
220541UR,Electrode Bevel 260A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220542,Nozzle Bevel 260A,Plasma,10.00,CPT,120.9000,1209.000000,,,,0.0000,0.0000,0.0000
220542,Nozzle Bevel 260A,Plasma,30.00,JHB,120.9000,3627.000000,,,,0.0000,0.0000,0.0000
220545,Shield Bevel 260A,Plasma,10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220545,Shield Bevel 260A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220552,Electrode,,33.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220552UR,Electrode 50A,Plasma,13.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220552UR,Electrode 50A,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220553,Swirl Ring,Plasma Jhb,11.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220553,Swirl Ring,Plasma Jhb,8.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220554,Nozzle 50A,Plasma,34.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220555,Shield 50A,Plasma,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220555,Shield 50A,Plasma,32.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220571,Water Tube,Plasma,10.00,JHB,42.3200,423.200000,,,,0.0000,0.0000,0.0000
220573,Bevel Quick Disconnect,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220578,Retaining Cap,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220629,Electrode 40A,Plasma,27.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220629,Electrode 40A,Plasma,30.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220631,Swirl Ring 400A,Plasma Jhb,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220631,Swirl Ring 400A,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220632,Nozzle 400A,Plasma,51.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220632,Nozzle 400A,Plasma,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
