ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate,ItemID
171226,Sport push chair,Chairs and Cushions,1.0000,FG,125.450000,125.450000,,,7,40.0000,30.0000,20.0000,1.0000,111
171226,Sport push chair,Chairs and Cushions,1.0000,FG,125.568100,2378.183712,,,7,40.0000,30.0000,20.0000,0.0528,111
171226,Sport push chair,Chairs and Cushions,1.0000,FG,125.570000,125.570000,,,7,40.0000,30.0000,20.0000,1.0000,111
171226,Sport push chair,Chairs and Cushions,1.0000,FG,125.450000,125.450000,,,7,40.0000,30.0000,20.0000,1.0000,111
171226,Sport push chair,Chairs and Cushions,16.0000,FG,125.570000,2009.120000,,,7,40.0000,30.0000,20.0000,1.0000,111
31040,Ultimate chair with wheels,,120.0000,FG,1753.097333,210371.680000,,,15,40.0000,50.0000,60.0000,1.0000,49
31040,Ultimate chair with wheels,,-56.0000,FG,228.384000,-12789.504000,,,15,40.0000,50.0000,60.0000,1.0000,49
311066,Stroller cover - Blue,Chairs and Cushions,10.0000,FG,250.000000,2500.000000,DIS,,3,15.0000,30.0000,5.0000,1.0000,43
311066,Stroller cover - Blue,Chairs and Cushions,-3.0000,FG,1046.660000,-3139.980000,DIS,,3,15.0000,30.0000,5.0000,1.0000,43
311073,Chair cushion Orange,Chairs and Cushions,-3.0000,FG,55.230000,-165.690000,,,5.5,25.0000,30.0000,35.0000,1.0000,44
311073,Chair cushion Orange,Chairs and Cushions,38.0000,FG,55.230000,2098.740000,,,5.5,25.0000,30.0000,35.0000,1.0000,44
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,900.0000,FG,3.450000,3105.000000,195818,,,0.0000,0.0000,0.0000,1.0000,5562
6009880532407,YCC- No Sugar Coconut Ice 50g,Vitamins,240.0000,FG,1.150000,276.000000,195818,,,0.0000,0.0000,0.0000,1.0000,5562
618127,Green chair with brown piping,Chairs and Cushions,94.0000,FG,181.382978,17050.000000,,,4,50.0000,60.0000,70.0000,1.0000,48
618127,Green chair with brown piping,Chairs and Cushions,-3.0000,FG,550.000000,-1650.000000,,,4,50.0000,60.0000,70.0000,1.0000,48
618127,Green chair with brown piping,Chairs and Cushions,20.0000,FG,550.000000,11000.000000,,,4,50.0000,60.0000,70.0000,1.0000,48
618127,Green chair with brown piping,Chairs and Cushions,11.0000,FG,200.000000,2200.000000,,,4,50.0000,60.0000,70.0000,1.0000,48
639795,High chair cover,Chairs and Cushions,6.0000,FG,71.565000,429.390000,,,1,10.0000,25.0000,10.0000,1.0000,38
639795,High chair cover,Chairs and Cushions,-4.0000,FG,281.380000,-1125.520000,,,1,10.0000,25.0000,10.0000,1.0000,38
639795,High chair cover,Chairs and Cushions,9.0000,FG,94.700000,852.300000,,,1,10.0000,25.0000,10.0000,1.0000,38
639801,Multi purpose wipes,,3.0000,FG,77.836600,233.509800,,,2.5,10.0000,20.0000,10.0000,1.0000,39
639801,Multi purpose wipes,,-1.2500,FG,0.000000,0.000000,,,2.5,10.0000,20.0000,10.0000,1.0000,39
639801,Multi purpose wipes,,1.0000,FG,233.712100,4426.365530,,,2.5,10.0000,20.0000,10.0000,0.0528,39
639801,Multi purpose wipes,,1.0000,FG,100.000000,100.000000,,,2.5,10.0000,20.0000,10.0000,1.0000,39
639801,Multi purpose wipes,,1.0000,FG,100.000000,100.000000,,,2.5,10.0000,20.0000,10.0000,1.0000,39
639801,Multi purpose wipes,,5.0000,FG,100.000000,500.000000,,,2.5,10.0000,20.0000,10.0000,1.0000,39
639801,Multi purpose wipes,,104.0000,FG,15.817307,1645.000000,,,2.5,10.0000,20.0000,10.0000,1.0000,39
643044,Green universal cushions,,3.0000,FG,100.189300,5692.573863,,,1,10.0000,15.0000,20.0000,0.0528,25
643044,Green universal cushions,,-3.0000,FG,100.189300,-300.567900,,,1,10.0000,15.0000,20.0000,1.0000,25
ACItem1,AdditionalCostItem1,,20.0000,FG,125.000000,2500.000000,,,,0.0000,0.0000,0.0000,1.0000,318882
ACItem2,AddCostsItem2,,4.0000,FG,225.000000,900.000000,,,,0.0000,0.0000,0.0000,1.0000,318890
ACItem2,AddCostsItem2,,4.0000,FG,225.000000,900.000000,,,,0.0000,0.0000,0.0000,1.0000,318890
AddC3,AddCostsItem 3,,3.0000,FG,100.000000,300.000000,,,,0.0000,0.0000,0.0000,1.0000,319174
AddC3,AddCostsItem 3,,4.0000,FG,100.000000,400.000000,,,,0.0000,0.0000,0.0000,1.0000,319174
AddCost4,Additional Item costs 4,,41.0000,FG,205.260000,8415.660000,,,,0.0000,0.0000,0.0000,1.0000,319649
AddCost4,Additional Item costs 4,,-1.0000,FG,10.000000,-10.000000,,,,0.0000,0.0000,0.0000,1.0000,319649
AddCost4,Additional Item costs 4,,-15.0000,FG,10.000000,-150.000000,,,,0.0000,0.0000,0.0000,1.0000,319649
AFUL100,6009880532575 - BCAA/EAA Pwd 455g Oran Tang,Vitamins,1000.0000,FG,0.200000,200.000000,,,,0.0000,0.0000,0.0000,1.0000,5980
AFUL120,6009880532582 - BCAA/EAA Pwd 455g Tropic,Vitamins,-7.0000,FG,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,5981
AORG100,6009880532100 - Virgin Coconut oil 200ml,,-1.0000,FG,0.000000,0.000000,,,,0.0000,0.0000,0.0000,1.0000,6010
EN19-22,EN 19 - 22mm diameter,Lock Num RM and FG,200.0000,FG,68.250000,13650.000000,,,,0.0000,0.0000,0.0000,1.0000,418239
ERPNext1,New Item for erpnext test,Bicycles,100.0000,FG,523.650000,52365.000000,,,,0.0000,0.0000,0.0000,1.0000,338135
LNut-22-Pass01,Lock Nut 1 - Passenger vehicle,Lock Num RM and FG,5.0000,FG,12.000000,60.000000,,,,0.0000,0.0000,0.0000,1.0000,418240
SeatR,Red Seat,Spares and Accessories,1.0000,FG,7.000000,7.000000,,,,0.0000,0.0000,0.0000,1.0000,280151
